track_name,artists,cover_url
peace of mind,boston,https://i.scdn.co/image/ab67616d0000b2738c1fadcc997a65384f34d694
zenitsu theme v2 (thunder clap and flash!),samuel kim,https://i.scdn.co/image/ab67616d0000b27340a9f87d9c46fb52da9c1084
vou raspar seu bigodin,mc dricka,https://i.scdn.co/image/ab67616d0000b27352e472189de268526beab5d2
bugünüm sensiz geçti,ceylan ertem,https://i.scdn.co/image/ab67616d0000b273727dad51dba53421e2018cad
ashes on the fire,kohta yamamoto,https://i.scdn.co/image/ab67616d0000b273c2bcff5fed95d5325eec7f91
eu te achei - ao vivo,gusttavo lima,https://i.scdn.co/image/ab67616d0000b2735840f88453448723ce907a53
warriors,imagine dragons,https://i.scdn.co/image/ab67616d0000b273fc4fd5caca9f1dc4a3b0460a
veneno (ao vivo),gusttavo lima,https://i.scdn.co/image/ab67616d0000b273fefe16e6d6e3edef4be12e0f
por te amar demais,gusttavo lima,https://i.scdn.co/image/ab67616d0000b2734945b446d98cf33fabc310c6
amor covarde,jorge & mateus,https://i.scdn.co/image/ab67616d0000b273d7c815519f53416c455e280b
no meio do rolo - ao vivo,luan pereira,https://i.scdn.co/image/ab67616d0000b27317ceae286e642f8f99aef251
missing piece,marika takeuchi,https://i.scdn.co/image/ab67616d0000b273b704cf61049e63a0803c986d
never stop (wedding version),safetysuit,https://i.scdn.co/image/ab67616d0000b273ea79415b6df4bd8e5866eb4d
fortnight,taylor swift,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33
avalanche,bring me the horizon,https://i.scdn.co/image/ab67616d0000b273413697269620e16f4466f543
kodoku,hideki taniuchi,https://i.scdn.co/image/ab67616d0000b273d4cafdffd73a6d7bdb4a1439
ordinary,alex warren,https://i.scdn.co/image/ab67616d0000b273fa2bcf3df669bde08b2e7d36
meu coração pede carona / pura magia / só de você - ao vivo,lauana prado,https://i.scdn.co/image/ab67616d0000b2731bbf55402ec03da1d721de82
filho da mãe ao vivo,guilherme & benuto,https://i.scdn.co/image/ab67616d0000b2739511608b18e4412ec57053ff
here with me,susie suh,https://i.scdn.co/image/ab67616d0000b273d917c30dec6e64fbcd85a90b
i like the way you kiss me,artemas,https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738
baki rap. el campeón,megar,https://i.scdn.co/image/ab67616d0000b2734a16e706d49589c76eacbdfb
princesa - ao vivo,leonardo,https://i.scdn.co/image/ab67616d0000b273785ee15b74f00b844206f8ad
konoha peace (naruto),kato,https://i.scdn.co/image/ab67616d0000b273ff662f0affe1a5420d3d6b81
a morte do autotune,matuê,https://i.scdn.co/image/ab67616d0000b27343f7193e1d691fef20b5ab81
vida boa (ao vivo),victor & leo,https://i.scdn.co/image/ab67616d0000b273ebfdf8350a9dab324bc8c05a
homenzinho torto,aline barros,https://i.scdn.co/image/ab67616d0000b2733f17ef7284a7c7427c48be40
